year,car,gdp
2000,9.99,0.5412
2001,11.73,0.6054
2002,13.05,0.6565
2003,15.12,0.7247
2004,19.14,0.9117
2005,22.55,1.0366
2006,29.61,1.183
2007,38.51,1.4405
2008,50.84,1.7521
2009,67.03,2.0226
2010,96.62,2.4719
2011,130.65,2.9893
2012,168.21,3.3587
2013,213.43,3.6906
2014,266.94,4.0425
