year,car,gdp
2000,39.21,2.4127
2001,43.48,2.698
2002,55.08,3.073
2003,72.88,3.4777
2004,98.4,4.0916
2005,116.68,4.5993
2006,140.52,5.1722
2007,167.57,6.0096
2008,199.37,6.4491
2009,235.61,6.694
2010,288.3,7.3856
2011,363.13,8.1584
2012,378.5,8.8167
2013,396.56,9.4253
2014,415.89,10.0855
