year,car,gdp
2000,6.1,0.7372
2001,8.64,0.7945
2002,11.88,0.8457
2003,12.97,0.9828
2004,13.95,1.1337
2005,14.63,1.3108
2006,18.89,1.5
2007,22.22,1.6999
2008,28.02,1.9797
2009,35.31,1.9942
2010,47.1,2.5034
2011,64.98,3.0256
2012,89.6,3.3799
2013,120.53,3.811
2014,145.75,4.0919
