year,car,gdp
2000,4.94,0.4652
2001,6.03,0.5058
2002,6.3,0.5558
2003,9.34,0.6169
2004,13.14,0.7461
2005,15.46,0.859
2006,21.07,1.0121
2007,27.57,1.2277
2008,36.2,1.4652
2009,46.63,1.6045
2010,64.83,2.0219
2011,88.01,2.5202
2012,115.4,2.8053
2013,146.94,3.0218
2014,187.31,3.3212
