year,car,gdp
2000,8.71,0.4769
2001,11.41,0.5015
2002,13.64,0.5366
2003,18.92,0.5871
2004,24.56,0.7012
2005,31.24,0.8929
2006,39.52,1.0609
2007,49.81,1.257
2008,62.47,1.3539
2009,76.33,1.5752
2010,102.45,1.9265
2011,135.87,1.773
2012,170.91,2.2262
2013,210.56,2.5158
2014,253.88,2.7341
