year,car,gdp
2000,32.51,1.2736
2001,44.5,1.3852
2002,55.26,1.5365
2003,79.67,1.7798
2004,107.64,2.0876
2005,142.63,2.4647
2006,183.4,2.8534
2007,234.01,3.3272
2008,298.42,3.7638
2009,360.16,3.9436
2010,435.51,4.4735
2011,536.79,5.05
2012,645,5.4324
2013,754.96,5.8678
2014,881.56,6.3691
