year,car,gdp
2000,6.4,0.4867
2001,7.92,0.5313
2002,9.7,0.5736
2003,11.89,0.6375
2004,14.45,0.7681
2005,16.87,0.8631
2006,22.98,0.9996
2007,30.63,1.204
2008,41.63,1.4448
2009,55.75,1.6408
2010,78.29,2.0888
2011,107.82,2.5395
2012,144.79,2.884
2013,187.7,3.1795
2014,236.01,3.4575
