year,car,gdp
2000,3.85,0.2662
2001,4.19,0.2895
2002,5.34,0.3153
2003,5.02,0.3701
2004,5.47,0.4317
2005,8.56,0.5052
2006,16.27,0.6305
2007,20.69,0.7878
2008,27.11,0.9855
2009,34.13,1.0971
2010,47.08,1.3119
2011,64.14,1.6116
2012,81.34,1.9608
2013,104.86,2.2982
2014,134.31,2.6416
