year,car,gdp
2000,6.24,0.6293
2001,7.6,0.6867
2002,9.46,0.7437
2003,12.77,0.8378
2004,18.19,0.9898
2005,22.87,1.1554
2006,29.71,1.336
2007,38,1.6386
2008,49.3,1.9858
2009,62.98,2.2677
2010,86.56,2.7906
2011,115.37,3.4232
2012,147.32,3.8642
2013,186.15,4.2686
2014,236.7,4.7193
