year,car,gdp
2000,6.85,1.3415
2001,9.91,1.4664
2002,13.06,1.6841
2003,30.92,2.0149
2004,53.14,2.3817
2005,74.03,2.7062
2006,102.67,3.1241
2007,137.13,3.6676
2008,178.24,4.1405
2009,217.83,4.3842
2010,285.2,5.1711
2011,376.53,5.8426
2012,472.85,6.3346
2013,575.26,6.8594
2014,690.46,7.3033
