year,car,gdp
2000,7.21,0.4968
2001,8.95,0.5511
2002,10.02,0.6161
2003,13.5,0.7057
2004,20.72,0.8638
2005,23.26,1.0674
2006,25.89,1.284
2007,37.8,1.5546
2008,48.01,1.97
2009,61.82,2.1947
2010,87.99,2.7133
2011,121.01,3.3196
2012,157.3,3.8608
2013,198.35,4.2752
2014,245.33,4.6998
