year,car,gdp
2000,2.14,3.0047
2001,4.75,3.1799
2002,8.4,3.3958
2003,14.36,3.8486
2004,22.13,4.4839
2005,31.47,4.9648
2006,40.97,5.4858
2007,50.91,6.204
2008,61.25,6.6932
2009,71.99,6.9165
2010,84.95,7.6074
2011,103.57,8.339
2012,119.57,8.5646
2013,140.84,9.0765
2014,162.88,9.7561
