year,car,gdp
2000,11.41,1.7353
2001,13.76,1.9141
2002,17.09,2.1387
2003,20.34,2.5544
2004,24.81,3.0575
2005,30.67,3.7796
2006,38.62,4.2141
2007,47.73,4.797
2008,58.56,5.8656
2009,70.88,6.2574
2010,89.58,7.2994
2011,112.99,8.6495
2012,140.98,9.5093
2013,169.87,10.1699
2014,206.95,10.681
