year,car,gdp
2000,4.04,0.4129
2001,4.53,0.4386
2002,5.1,0.4768
2003,5.37,0.5429
2004,5.61,0.6566
2005,4.81,0.7477
2006,7.12,0.8945
2007,8.65,1.0614
2008,11.72,1.2421
2009,16.02,1.3269
2010,25.06,1.6113
2011,36.74,1.9628
2012,50.28,2.2036
2013,67.23,2.4438
2014,87.89,2.6473
