year,car,gdp
2000,1.43,0.5376
2001,2.25,0.6039
2002,2.44,0.6647
2003,2.45,0.7734
2004,3.19,0.9199
2005,3.28,1.0349
2006,4.65,1.2099
2007,5.86,1.5142
2008,7.53,1.9609
2009,9.92,2.1777
2010,14.67,2.686
2011,21.14,3.2691
2012,29.11,3.641
2013,38.5,4.0185
2014,47.73,4.2081
