year,car,gdp
2000,2.47,1.1194
2001,6.45,1.1691
2002,8.12,1.2739
2003,11.65,1.4125
2004,16.75,1.6235
2005,21.77,1.8353
2006,29.29,2.1105
2007,41.46,2.5582
2008,56.44,2.9755
2009,71.79,3.3437
2010,94.39,4.0025
2011,122.57,4.7432
2012,155.04,5.2961
2013,191.38,5.8058
2014,233.78,6.3741
