year,car,gdp
2000,8.57,0.7351
2001,9.35,0.7893
2002,9.71,0.8714
2003,13.2,0.9854
2004,18.83,1.1537
2005,23.02,1.3348
2006,29.22,1.572
2007,35.38,1.9383
2008,45.13,2.3521
2009,53.78,2.6595
2010,72.88,3.1599
2011,94.2,3.787
2012,117.39,4.3426
2013,144.84,4.7207
2014,177.75,5.0177
