year,car,gdp
2000,0.52,0.4572
2001,0.67,0.5324
2002,0.75,0.6117
2003,1.03,0.6893
2004,0.31,0.8103
2005,1.58,0.9036
2006,1.49,1.0422
2007,2.49,1.2083
2008,3.55,1.3824
2009,5.29,1.5295
2010,5.14,1.7319
2011,6.28,2.0152
2012,7.6,2.3212
2013,9.15,2.6039
2014,11.63,2.9514
