year,car,gdp
2000,22.3,0.4956
2001,10.21,0.5376
2002,27.54,0.589
2003,35.56,0.6623
2004,45.46,0.7895
2005,56.51,0.906
2006,66.19,1.0613
2007,91.33,1.2963
2008,100.76,1.5495
2009,126.99,1.7339
2010,177.44,2.1182
2011,234.22,2.6146
2012,290.08,2.9627
2013,351.31,3.2517
2014,423.74,3.52
