year,car,gdp
2000,0.7,0.6798
2001,0.97,0.7315
2002,0.84,0.8041
2003,1.48,0.8849
2004,2.3,1.0067
2005,3.23,1.1165
2006,4.63,1.281
2007,6.33,1.4923
2008,8.79,1.7691
2009,11.83,1.9254
2010,15.58,2.3831
2011,21.57,2.5947
2012,27.65,3.2557
2013,33.9,3.5468
2014,41.67,3.9114
