year,car,gdp
2000,15.16,0.9326
2001,21.18,1.0195
2002,28.36,1.134
2003,42.55,1.3268
2004,60.49,1.6413
2005,82.35,1.9934
2006,97.69,2.3603
2007,155.24,2.7604
2008,204.81,3.2936
2009,260.38,3.5894
2010,361.34,4.1106
2011,485.36,4.6976
2012,607.87,5.1897
2013,767.68,5.6789
2014,919.36,6.1057
