year,car,gdp
2000,7.75,1.1765
2001,12.29,1.2879
2002,18.48,1.4369
2003,28.77,1.6743
2004,45.81,2.0031
2005,63.96,2.4616
2006,94.21,2.8526
2007,132.02,3.3837
2008,175.41,4.0014
2009,219.74,4.4253
2010,291.19,5.284
2011,383.94,6.1022
2012,488.13,6.8436
2013,600.51,7.4699
2014,729.46,8.1986
