year,car,gdp
2000,26.36,0.7592
2001,33.06,0.8251
2002,41.22,0.896
2003,53.09,1.0251
2004,66.08,1.2487
2005,79.43,1.4659
2006,97,1.6682
2007,123.79,1.9662
2008,156.17,2.2986
2009,188.03,2.4581
2010,248.11,2.8668
2011,323.27,3.3718
2012,416.19,3.67
2013,516.68,3.8832
2014,612.01,4.0122
