year,car,gdp
2000,11.45,0.5722
2001,13.59,0.6226
2002,16.62,0.7082
2003,17.87,0.8641
2004,22.86,1.0741
2005,28.87,1.2647
2006,43.03,1.4497
2007,56.89,1.7805
2008,73.95,2.1506
2009,95.45,2.1522
2010,122.01,2.6283
2011,154.14,3.0801
2012,193.16,3.3712
2013,233.47,3.4899
2014,279.46,3.515
