year,car,gdp
2000,8.94,0.8294
2001,11.91,0.89
2002,15.57,0.9541
2003,17.04,1.0638
2004,24.4,1.2449
2005,26.49,1.444
2006,32.84,1.6255
2007,39.73,1.858
2008,49.41,2.174
2009,61.69,2.2447
2010,85.42,2.7076
2011,110.24,3.2636
2012,137.29,3.571
2013,164.42,3.8602
2014,191.67,3.9216
