year,car,gdp
2000,1.02,0.6274
2001,3.12,0.6963
2002,5.53,0.7912
2003,5.82,0.9098
2004,7.99,1.0845
2005,9.5,1.2404
2006,15.33,1.3939
2007,19.45,1.6629
2008,24.58,2.049
2009,31.43,2.292
2010,43.44,2.7596
2011,59.86,3.4705
2012,78.3,3.9256
2013,102.48,4.2978
2014,131.29,4.8032
