year,car,gdp
2000,1.95,0.4851
2001,2.05,0.5221
2002,3.23,0.5829
2003,4.53,0.6624
2004,6.22,0.8097
2005,7.79,0.944
2006,11.66,1.1145
2007,16.47,1.3322
2008,22.78,1.59
2009,30.65,1.7335
2010,47.62,2.1253
2011,69.63,2.4681
2012,95.26,2.8851
2013,124.8,3.1836
2014,160.57,3.4738
