year,car,gdp
2000,17.83,0.545
2001,21.43,0.5959
2002,24.3,0.6487
2003,28.53,0.7376
2004,36.45,0.9201
2005,43.91,1.1346
2006,61.42,1.3172
2007,80.07,1.6012
2008,103.44,1.9181
2009,132.29,2.0597
2010,181.38,2.4446
2011,244.76,2.8716
2012,322.71,3.1753
2013,400.08,3.4187
2014,503.92,3.7118
