year,car,gdp
2000,9.52,0.6502
2001,11.39,0.721
2002,12.14,0.8146
2003,13.13,1.0015
2004,18.76,1.2728
2005,23.06,1.6285
2006,27.78,2.0523
2007,37.86,2.6521
2008,48.93,3.4869
2009,63.72,3.9735
2010,86.82,4.7347
2011,115.59,5.6665
2012,151.93,6.4417
2013,190.64,6.747
2014,227.82,7.1135
